Year,Tm,off_rat,POSS_TOT
2017.0,GSW,113.70489135637024,8357.6
2010.0,PHO,113.58364375424415,7958.012
2016.0,GSW,112.9285916350612,8342.44
2017.0,HOU,112.61974629717038,8398.172
2005.0,PHO,112.34811785260483,8058.88
2007.0,PHO,112.09972447061193,8061.572
2008.0,PHO,111.94383410980467,8062.972
2009.0,POR,111.76503488527668,7294.768
2009.0,PHO,111.62474581550248,8039.436
2017.0,CLE,111.53752655919551,8112.068
2008.0,UTA,111.36785813652804,7820.928
2013.0,MIA,111.25277802248583,7582.732
2013.0,OKC,111.0206678503407,7808.456
2017.0,LAC,110.9601922994548,8030.808
2008.0,LAL,110.91567717857623,8027.72
2017.0,TOR,110.9084722832614,7900.208
2009.0,CLE,110.71419338994662,7427.232
2017.0,DEN,110.65485059843726,8278.896
2015.0,LAC,110.57323205393033,7914.2119999999995
2016.0,OKC,110.47262923879738,8181.2119999999995
2009.0,LAL,110.26251230518571,7951.932
2011.0,MIA,110.22621068392144,7592.568
2004.0,DAL,110.17525861681388,7829.344
2011.0,SAS,110.15772949138277,7718.024
2015.0,GSW,110.15104963590045,8185.124
2014.0,LAC,110.15102016025044,8034.424
2010.0,ORL,110.1475920214763,7649.736
2011.0,DEN,109.98566478975773,8011.044
2006.0,PHO,109.97388646180121,8080.1
2010.0,CLE,109.8893887771869,7619.48
2008.0,NOH,109.8382681307519,7529.252
2014.0,MIA,109.79473886670867,7632.424
2008.0,ORL,109.6987695094018,7809.568
2006.0,DAL,109.68119333138345,7412.392
2010.0,ATL,109.60230845754403,7607.504
2014.0,HOU,109.56318180712611,8058.364
2017.0,SAS,109.51742844912062,7886.416
2007.0,DAL,109.5128341403356,7488.62
2008.0,GSW,109.4984789272252,8315.184
2014.0,DAL,109.4380204257148,7855.588
2008.0,DAL,109.42628942017622,7524.7
2011.0,OKC,109.40790923980086,7856.836
2017.0,WAS,109.36922797272231,8186.032
2017.0,BOS,109.33612222536598,8100.708
2010.0,TOR,109.33389089261756,7805.448
2013.0,NYK,109.26770374107234,7500.844
2005.0,SEA,109.264286241454,7425.116
2010.0,DEN,109.2423892007597,7990.488
2010.0,POR,109.13819758232778,7371.388
2016.0,SAS,109.06999904419223,7783.992
2012.0,SAS,109.05168868317335,6273.1720000000005
2016.0,CLE,109.0032755770994,7848.388
2011.0,HOU,108.98224511706839,7969.188
2015.0,TOR,108.95587382943032,7826.104
2017.0,MIN,108.9082056174845,7948.896
2009.0,BOS,108.90020661428929,7598.7
2005.0,MIA,108.86139892715242,7649.1759999999995
2011.0,NYK,108.84937708843994,8023.932
2008.0,DET,108.82738223303113,7343.74
2014.0,POR,108.7905444573374,8045.736
2009.0,DAL,108.78193440174239,7669.472
2014.0,OKC,108.7218259971184,8006.6720000000005
2013.0,LAC,108.70580162955099,7625.168
2008.0,BOS,108.69083764581315,7585.736
2014.0,SAS,108.65420218460473,7950.912
2011.0,LAL,108.603098679639,7661.844
2017.0,POR,108.57671396887083,8151.84
2015.0,CLE,108.5730748018031,7789.224
2010.0,UTA,108.56658572759048,7872.588
2006.0,DET,108.55479002624672,7315.2
2008.0,TOR,108.42182172944882,7576.888
2013.0,DEN,108.35941063635259,8032.528
2017.0,UTA,108.35137440136457,7621.5
2006.0,SEA,108.31458335908879,7765.344
2005.0,DAL,108.28528670285023,7761.904
2016.0,TOR,108.22633207570446,7781.84
2011.0,DAL,108.20630281968248,7596.6
2005.0,SAC,108.127088804314,7865.744
2009.0,DEN,108.0813792775843,7915.332
2010.0,SAS,108.05352341324337,7692.484
2008.0,DEN,108.03301805249114,8399.284
2011.0,PHO,107.84774918704012,7984.404
2010.0,DAL,107.83464323287332,7756.32
2004.0,SAC,107.82254962931444,7821.184
2009.0,ORL,107.80208131133959,7686.308
2009.0,UTA,107.80108136214258,7877.472
2014.0,PHO,107.77164850031424,8006.744
2015.0,DAL,107.7079870191153,8010.548
2017.0,MIL,107.69595797310048,7889.804
2012.0,OKC,107.67114995700751,6317.384
2013.0,HOU,107.51235129809285,8080.932
2006.0,TOR,107.50046310685808,7708.804
2007.0,SAS,107.44379781042866,7519.28
2007.0,WAS,107.42940371407406,7964.3
2009.0,ATL,107.42237044830082,7490.0599999999995
2007.0,UTA,107.37465988992614,7750.432
2009.0,NOH,107.28933901464772,7323.188
2016.0,LAC,107.21607072431969,7992.272
2015.0,ATL,107.21033829457917,7843.46
2006.0,MIA,107.16771597088116,7643.16
2009.0,GSW,107.14828890018327,8310.912
2017.0,CHO,107.11739747939724,8029.508
2009.0,SAS,107.04184128108021,7434.476
2012.0,DEN,107.03449650798399,6420.36
2007.0,DET,106.90179266918784,7363.768
2015.0,SAS,106.87474547617052,7916.744
2017.0,IND,106.8488925058979,8065.596
2016.0,POR,106.8453916697771,8069.604
2008.0,WAS,106.79914117887064,7588.076
2014.0,TOR,106.77579525789473,7777.98
2006.0,WAS,106.74512399132516,7809.256
2010.0,OKC,106.73938249689607,7796.5599999999995
2013.0,SAS,106.66531988232471,7920.1
2010.0,BOS,106.47486533599259,7641.24
2010.0,LAL,106.4535977716105,7833.46
2011.0,ORL,106.43676151728188,7643.036
2011.0,CHI,106.41506375166327,7599.488
2011.0,POR,106.39989435471483,7421.0599999999995
2009.0,HOU,106.37024648899101,7586.708
2012.0,LAC,106.36807384898442,6052.568
2009.0,NJN,106.34191225073636,7564.28
2016.0,HOU,106.3354352949424,8216.452
2015.0,NOP,106.26835923844706,7666.44
2007.0,LAL,106.19904663985415,7979.356
2017.0,MIA,106.17672425477996,7967.848
2014.0,NYK,106.17116620174097,7614.12
2014.0,MIN,106.15994021723074,8259.236
2006.0,LAL,106.15816290395824,7680.992
2013.0,LAL,106.1288559560056,7897.004
2011.0,GSW,106.12141682169047,7988.02
2013.0,BRK,106.05167375813811,7490.688
2009.0,IND,106.04181126354288,8126.04
2015.0,POR,106.02777125071259,7949.804
2009.0,CHI,105.94774290081834,7907.6720000000005
2010.0,GSW,105.93607739674142,8422.06
2016.0,CHO,105.89119196091156,8007.276
2009.0,MIA,105.88806471664138,7612.756
2010.0,NOH,105.88422603268036,7763.196
2010.0,NYK,105.88113896896328,7907.924
2009.0,NYK,105.87354572676846,8148.4
2006.0,SAS,105.86998188173796,7402.476
2011.0,UTA,105.84743117774839,7702.596
2006.0,CLE,105.80949952979432,7562.648
2005.0,SAS,105.80364088999534,7455.32
2007.0,TOR,105.71331409749315,7716.152
2015.0,CHI,105.70118830388536,7819.2119999999995
2014.0,GSW,105.69044580128663,8088.716
2014.0,NOP,105.68564743154279,7737.096
2010.0,MEM,105.68314773809895,7952.072
2005.0,LAL,105.68254868447094,7659.732
2011.0,DET,105.65629956584044,7525.344
2005.0,MIN,105.63849107651667,7510.52
2010.0,MIA,105.57749046280668,7495.916
2008.0,SAS,105.56919345136203,7407.464
2009.0,PHI,105.56191132746581,7566.176
2017.0,NYK,105.51608910707934,8108.716
2017.0,OKC,105.47504919594732,8287.268
2005.0,BOS,105.46331466727493,7873.8279999999995
2007.0,DEN,105.43383968588796,8193.764
2016.0,DAL,105.39918244010417,7958.316
2008.0,SAC,105.39521198878057,7977.592
2010.0,HOU,105.39078576959503,7965.592
2005.0,TOR,105.34538291462258,7763.036
2009.0,DET,105.31317004771871,7337.164
2017.0,CHI,105.30944371644081,8009.728
2007.0,SEA,105.28093304029062,7722.196
2017.0,MEM,105.27394480726909,7826.248
2015.0,OKC,105.26419782358491,8097.72
2012.0,CHI,105.25036975833629,6041.784
2017.0,SAC,105.22941510420333,8011.068
2011.0,BOS,105.20899534915878,7521.22
2016.0,MIA,105.19831498047598,7798.604
2007.0,MEM,105.12621202408653,7924.76
2011.0,MEM,105.12183871244154,7795.716
2016.0,MIN,105.12127625591009,7988.868
2014.0,BRK,105.10126876055696,7686.872
2007.0,GSW,105.07177880496455,8315.268
2008.0,POR,105.06973567034223,7442.676
2015.0,HOU,105.06734814550336,8110.988
2011.0,PHI,104.97753048990204,7734.036
2009.0,TOR,104.97135875671307,7736.396
2004.0,SEA,104.95585633646601,7587.952
2012.0,MIA,104.94487326534197,6193.728
2011.0,NOH,104.90435967640293,7420.092
2008.0,ATL,104.80194332523268,7684.972
2008.0,HOU,104.7310823787676,7572.728
2007.0,HOU,104.72719572884756,7594.016
2007.0,MIL,104.71977081593771,7803.684
2006.0,SAC,104.70936369879045,7741.428
2013.0,GSW,104.67631599932571,7925.384
2005.0,WAS,104.65378531509666,7874.536
2006.0,ATL,104.56107694236759,7624.252
2007.0,NJN,104.55122552696379,7652.708
2017.0,PHO,104.52960847619006,8448.324
2012.0,UTA,104.50883232315014,6293.248
2017.0,DAL,104.49017539877794,7683.976
2006.0,ORL,104.47239561215939,7450.772
2012.0,IND,104.45984750708817,6173.664
2006.0,PHI,104.43693532011773,7800.88
2009.0,MIL,104.38177834140919,7800.2119999999995
2013.0,UTA,104.30849360263733,7705.988
2011.0,ATL,104.30603148622839,7468.408
2014.0,ATL,104.2947999181962,7940.952
2014.0,MEM,104.29432270600113,7559.376
2005.0,CLE,104.28438301173931,7588.864
2016.0,BOS,104.28189722080143,8313.044
2004.0,MIL,104.24403815910138,7711.7119999999995
2010.0,PHI,104.23646980966373,7688.2880000000005
2007.0,SAC,104.22749637595108,7966.228
2012.0,PHO,104.22064724682185,6229.092
2006.0,MEM,104.2113060028911,7252.572
2008.0,CLE,104.19803507002878,7584.596
2013.0,DAL,104.18755317422149,7959.684
2005.0,HOU,104.18426234976405,7482.896
2017.0,LAL,104.16783083581596,8231.908
2008.0,IND,104.16167866555783,8186.312
2005.0,MIL,104.11546644199072,7657.844
2005.0,DEN,104.10145178218727,7839.468
2011.0,TOR,104.0799760580183,7805.536
2016.0,UTA,104.06841231359282,7696.86
2016.0,SAC,104.05004688204629,8399.804
2012.0,LAL,104.03699842081491,6172.804
2006.0,MIL,104.01886347070221,7710.14
2014.0,WAS,103.99735911721942,7936.74
2005.0,NYK,103.98688073250982,7671.16
2014.0,DEN,103.97048448132102,8232.144
2016.0,DET,103.96124549575873,8042.42
2004.0,MIN,103.9283383744766,7459.948
2017.0,NOP,103.92702272644453,8232.7
2008.0,PHI,103.91184896728174,7624.732
2017.0,DET,103.89501914099112,7997.496
2015.0,UTA,103.86039543903617,7511.044
2007.0,NYK,103.79585896851275,7701.656
2006.0,LAC,103.79074535559204,7678.912
2005.0,DET,103.76386365485263,7375.4
2013.0,NOH,103.72049196374596,7437.296
2016.0,NOP,103.70817998115696,8121.8279999999995
2014.0,DET,103.68651484671764,7991.396
2013.0,SAC,103.67205171014106,7927.884
2016.0,WAS,103.64136541365947,8234.164
2015.0,PHO,103.61023106920032,8104.412
2012.0,GSW,103.60506449427307,6228.46
2014.0,SAC,103.60392299441361,7954.332
2005.0,IND,103.6026440546809,7360.816
2013.0,TOR,103.56903224867587,7696.316
2015.0,MEM,103.54636673240958,7785.884
2007.0,MIA,103.54605537438592,7493.284
2012.0,HOU,103.51384245813557,6254.236
2013.0,ATL,103.49336493110836,7760.884
2016.0,ATL,103.48295678773589,8149.168
2012.0,ORL,103.4714462094988,6006.488
2009.0,MIN,103.46760337599345,7750.252
2005.0,LAC,103.40606318665104,7590.464
2009.0,SAC,103.40177808935378,7976.652
2006.0,DEN,103.3928228515356,7957.032
2010.0,DET,103.39146538256854,7456.128
2006.0,BOS,103.37225438762653,7770.9439999999995
2005.0,MEM,103.36689215518014,7411.464
2007.0,CLE,103.3612871724135,7675.988
2016.0,DEN,103.34381243302134,8084.664
2007.0,LAC,103.3221707272732,7590.82
2013.0,POR,103.31486286712637,7738.48
2016.0,MEM,103.2992714388574,7866.464
2004.0,LAL,103.27748243051472,7796.472
2010.0,SAC,103.25526060368566,7941.484
2015.0,SAC,103.25033547040405,8048.4
2012.0,POR,103.24413512154644,6213.428
2012.0,ATL,103.24120708809593,6174.86
2015.0,DET,103.21559318360491,7825.368
2007.0,CHI,103.18224225967582,7850.188
2016.0,ORL,103.18132345304454,8110.964
2008.0,CHA,103.10734097321722,7719.14
2016.0,IND,103.03569706594875,8130.192
2008.0,MEM,103.02843969248936,8014.292
2017.0,ATL,102.99520126862228,8213.004
2008.0,MIL,102.98655841600564,7725.28
2007.0,ORL,102.96331903603756,7547.348
2016.0,NYK,102.8921037550451,7838.308
2016.0,MIL,102.88477665060269,7894.268
2009.0,WAS,102.8822171672896,7656.3279999999995
2012.0,MIL,102.88195417463011,6351.9400000000005
2007.0,NOK,102.87255150719517,7614.276
2011.0,LAC,102.8411047084927,7865.532
2016.0,CHI,102.82608266550866,8105.92
2005.0,ORL,102.74412432039044,7942.0599999999995
2011.0,IND,102.66917264932385,7970.26
2007.0,POR,102.6658804972876,7516.616
2013.0,MEM,102.66403726628147,7460.256
2004.0,MEM,102.66238652116658,7724.348
2010.0,MIL,102.63606422923634,7803.3
2015.0,WAS,102.62287819578819,7873.488
2015.0,MIA,102.59202097295926,7567.84
2017.0,BRK,102.5817531509027,8454.72
2010.0,CHA,102.55326521825877,7618.48
2006.0,GSW,102.52842510448352,7876.84
2009.0,CHA,102.48653671065877,7490.74
2005.0,GSW,102.46373766042399,7899.38
2015.0,BRK,102.41823233113479,7848.2119999999995
2013.0,IND,102.38907849829351,7494.94
2006.0,IND,102.36823098549002,7520.888
2006.0,NJN,102.36197836117555,7513.532
2015.0,BOS,102.35686786014053,8120.608
2014.0,LAL,102.35134080013968,8248.06
2012.0,PHI,102.2953893581014,6041.3279999999995
2012.0,NYK,102.28997767297112,6313.424
2014.0,IND,102.28933142774915,7755.452
2010.0,WAS,102.25155541044437,7718.22
2008.0,NYK,102.24585832233431,7773.42
2010.0,IND,102.1853795884488,8086.284
2009.0,MEM,102.18260341840497,7533.572
2014.0,CLE,102.17705377907936,7882.396
2008.0,NJN,102.16724063408445,7690.332
2015.0,DEN,102.12252837705209,8147.076
2012.0,MIN,102.09058264914955,6331.632
2014.0,CHA,102.08226221079691,7780.0
2005.0,UTA,102.08054201621722,7469.592
2004.0,IND,102.04131658764467,7343.104
2006.0,UTA,102.0320725350625,7422.1759999999995
2004.0,DEN,101.91344669435836,7822.324
2013.0,BOS,101.91195057752714,7671.3279999999995
2006.0,NYK,101.88475096311102,7696.932
2011.0,CHA,101.84297171667578,7511.564
2007.0,PHI,101.80649312266735,7646.86
2017.0,ORL,101.77682091847686,8143.308
2010.0,LAC,101.77629391655512,7712.012
2007.0,MIN,101.7580357456589,7740.912
2011.0,MIN,101.73104805073591,8146.972
2004.0,POR,101.71704941808004,7314.408
2006.0,CHI,101.70421775760714,7885.612
2006.0,NOK,101.68695328733038,7484.736
2012.0,SAC,101.66976761017708,6410.952
2008.0,CHI,101.66044976692358,7850.644
2012.0,MEM,101.65818461087407,6166.744
2010.0,CHI,101.63480337804434,7864.432
2015.0,IND,101.62720680404401,7853.2119999999995
2012.0,DAL,101.61334082548223,6221.624
2015.0,LAL,101.58985032705564,7946.66
2013.0,DET,101.58927526540165,7656.32
2013.0,CLE,101.53807145159534,7793.136
2013.0,MIL,101.51241987179488,7987.2
2007.0,CHA,101.50376324084333,7827.296
2016.0,BRK,101.47064062608979,7971.764
2014.0,UTA,101.45709631899955,7679.108
2017.0,PHI,101.41968237287286,8282.416
2015.0,MIL,101.41544255206405,7911.024
2011.0,NJN,101.3636442395994,7618.116
2008.0,MIN,101.35570201139156,7734.148
2004.0,GSW,101.3487371753899,7547.208
2005.0,PHI,101.26350138489799,8026.584
2013.0,CHI,101.20840799346416,7549.768
2011.0,SAC,101.20793929162637,8053.716
2014.0,MIL,101.12964487205919,7741.548
2007.0,BOS,101.11177915550495,7770.608
2005.0,POR,101.06644259914087,7540.584
2007.0,ATL,101.01929521152756,7602.508
2013.0,MIN,100.93449581348756,7778.312
2014.0,BOS,100.80706967694732,7828.816
2014.0,CHI,100.78888298620662,7619.888
2009.0,OKC,100.77195984734163,7891.084
2004.0,LAC,100.7301412166324,7714.6720000000005
2015.0,MIN,100.66608396877542,7962.96
2012.0,NJN,100.64231550710687,6104.7880000000005
2004.0,BOS,100.57400964665831,7766.42
2006.0,MIN,100.54509825937481,7481.22
2004.0,SAS,100.52151650932903,7462.084
2007.0,IND,100.50637779629511,7800.5
2009.0,LAC,100.33702123455062,7772.804
2006.0,CHA,100.27652738964406,7921.096
2011.0,WAS,100.26944664136948,7955.564
2015.0,ORL,100.2511708958599,7827.34
2004.0,NOH,100.20586855822268,7513.532
2004.0,MIA,100.19031015411603,7387.94
2014.0,ORL,100.14800746718932,7902.304
2004.0,ORL,100.14285714285714,7700.0
2013.0,PHI,100.13930373299401,7629.372
2016.0,PHO,100.0897915915378,8263.58
2011.0,CLE,100.08055544900073,7820.7
2011.0,MIL,100.07816032590358,7528.116
2004.0,DET,100.06414507188148,7383.264
2006.0,HOU,99.99620970099956,7387.28
2004.0,UTA,99.85640234590444,7281.456
2012.0,BOS,99.7648564386678,6076.2880000000005
2010.0,MIN,99.63201371756236,8080.736
2004.0,NYK,99.61495952003077,7571.152
2008.0,LAC,99.60365721010311,7722.608
2013.0,ORL,99.54183413890252,7753.524
2004.0,PHO,99.48294118101695,7763.14
2013.0,CHA,99.43978318207306,7704.16
2016.0,LAL,99.41204661779842,8029.208
2012.0,NOH,99.37692882958974,5953.092
2012.0,TOR,99.29073308607408,6028.76
2004.0,HOU,99.26563386541079,7416.464
2005.0,CHI,99.25761201436178,7802.928
2005.0,NJN,99.23214231816664,7554.004
2004.0,ATL,99.19797052760651,7672.536
2004.0,CLE,99.11435811777685,7687.08
2010.0,NJN,99.10329507008532,7643.54
2006.0,POR,99.09429042775,7351.584
2012.0,CLE,99.01277490558309,6201.22
2004.0,NJN,98.993929549387,7476.216
2012.0,DET,98.97679417514057,6058.996
2013.0,PHO,98.94214933026116,7888.448
2008.0,MIA,98.90795895484749,7573.708
2005.0,ATL,98.81263720729112,7696.384
2005.0,CHA,98.74974063659789,7826.856
2012.0,WAS,98.63859584607016,6265.296
2015.0,CHO,98.45687560794347,7842.012
2008.0,SEA,98.45436857258767,8124.576
2013.0,WAS,98.4258051756213,7766.256
2015.0,NYK,98.17973340977498,7674.7
2004.0,PHI,97.47465658928678,7401.924
2016.0,PHI,97.46693347649958,8195.6
2014.0,PHI,97.25413011040342,8385.248
2005.0,NOH,96.99232835086292,7476.88
2004.0,WAS,96.81074938824557,7775.996
2004.0,TOR,95.61372383109972,7327.4
2004.0,CHI,94.8588685755203,7753.624
2015.0,PHI,93.84673044561146,8036.508
2012.0,CHA,93.2953497657131,6151.432
